Date,Open,High,Low,Close,Adj Close,Volume
5/9/2021,3911.463135,3981.259033,3743.989014,3928.844727,3928.844727,50568290278
5/10/2021,3924.41333,4197.473145,3684.45166,3952.293945,3952.293945,62691789007
5/11/2021,3948.271973,4178.208984,3783.889404,4168.701172,4168.701172,52679737865
5/12/2021,4174.635742,4362.350586,3785.848633,3785.848633,3785.848633,69023382175
5/13/2021,3828.918457,4032.563477,3549.407227,3715.148438,3715.148438,78398214539
5/14/2021,3720.122314,4171.01709,3703.399902,4079.057373,4079.057373,48174271215
5/15/2021,4075.95166,4129.185547,3638.12207,3638.12207,3638.12207,42422321751
5/16/2021,3641.830811,3878.895996,3350.95166,3587.506104,3587.506104,47359478734
5/17/2021,3581.343018,3587.765625,3129.008789,3282.397705,3282.397705,54061732774
5/18/2021,3276.872314,3562.465088,3246.404053,3380.070068,3380.070068,40416525218
5/19/2021,3382.657227,3437.935791,1952.460205,2460.679199,2460.679199,84482912776
5/20/2021,2439.638672,2993.145264,2170.229004,2784.294189,2784.294189,67610826680
5/21/2021,2772.341309,2938.205078,2113.347168,2430.621338,2430.621338,53774070802
5/22/2021,2436.014648,2483.983154,2168.124268,2295.705566,2295.705566,42089937660
5/23/2021,2298.367188,2384.411621,1737.46875,2109.579834,2109.579834,56005721977
5/24/2021,2099.936035,2672.595703,2090.639648,2643.591064,2643.591064,53697121740
5/25/2021,2649.033203,2750.534912,2394.355469,2706.628906,2706.628906,49558333256
5/26/2021,2707.052734,2911.735596,2652.094482,2888.69873,2888.69873,42499766020
5/27/2021,2888.752441,2888.752441,2642.60791,2736.488525,2736.488525,33373635283
5/28/2021,2742.468994,2761.363281,2336.361328,2419.90625,2419.90625,39999114805
5/29/2021,2414.067139,2566.938477,2208.490967,2279.51416,2279.51416,33773720220
5/30/2021,2278.288818,2472.187744,2188.834473,2390.30542,2390.30542,25876619428
5/31/2021,2387.198486,2715.85498,2279.505127,2714.945313,2714.945313,31007383150
6/1/2021,2707.560547,2739.737549,2531.160645,2633.518311,2633.518311,27363223090
6/2/2021,2634.456055,2801.392334,2555.401367,2706.125,2706.125,27723267359
6/3/2021,2708.376221,2891.254883,2667.684326,2855.126465,2855.126465,30038207402
